"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 8 3 2 0.7 1 0.9911 0.468161980633611 2
"2" 8 4 2 0.7 8 0.9946 0.465694098201102 2
"3" 8 3 2 0.7 2 0.9919 0.465596345733261 2
"4" 8 3 2 0.9 0.5 0.9896 0.465418831762241 2
"5" 8 3 2 0.8 1 0.9911 0.463156861336733 2
"6" 8 3 2 0.8 2 0.9918 0.456066657608305 2
"7" 8 4 2 0.8 1 0.9923 0.449701727924311 2
"8" 8 2 2 0.7 4 0.9909 0.447583640483671 2
"9" 8 4 2 0.9 1 0.9922 0.447264319270289 2
"10" 7 4 2 0.2 8 0.9935 0.443810107171556 2
"11" 7 4 2 0.3 4 0.9933 0.43879565869855 2
"12" 8 3 2 0.6 2 0.992 0.437716897439718 2
"13" 7 3 2 0.8 4 0.9921 0.434001376772448 2
"14" 8 2 2 0.9 2 0.9899 0.433738204516236 2
"15" 8 4 0.5 0.7 16 0.9915 0.433187765222714 2
"16" 8 4 2 0.6 2 0.9934 0.428877567619823 2
"17" 8 3 2 0.9 1 0.991 0.428691700561975 2
"18" 7 4 2 0.4 4 0.9938 0.42111606462423 2
"19" 5 3 2 0.9 256 0.9948 0.416983352442715 2
"20" 7 3 2 0.6 2 0.9918 0.414374942430141 2
"21" 7 4 2 0.6 2 0.9932 0.414345040578134 2
"22" 5 2 2 0.5 1024 0.9884 0.413746077858195 2
"23" 7 2 2 0.2 64 0.992 0.410227020334433 2
"24" 8 3 2 0.5 16 0.9944 0.410185441819458 2
"25" 7 3 2 0.9 1 0.9907 0.409658982022587 2
"26" 7 2 2 0.7 4 0.9906 0.402427497158978 2
"27" 8 4 0.5 0.8 8 0.991 0.400593260057033 2
"28" 8 4 2 0.2 8 0.9938 0.400444196522002 2
"29" 8 4 2 0.3 4 0.9936 0.39979285523831 2
"30" 7 3 0.5 0.2 1024 0.992 0.397168841044982 2
"31" 7 4 2 0.2 16 0.9943 0.396365497119235 2
"32" 7 3 2 0.8 2 0.9916 0.39198388381883 2
"33" 7 4 2 0.6 4 0.9939 0.391983450612504 2
"34" 8 3 2 0.1 32 0.9916 0.384839948994142 2
"35" 8 4 0.5 0.5 16 0.9915 0.38203794700913 2
"36" 8 4 0.5 0.6 16 0.9915 0.380944834778676 2
"37" 7 2 2 0.9 2 0.9897 0.378026666341918 2
"38" 6 2 2 0.5 256 0.9943 0.375935800566575 2
"39" 8 2 2 0.8 4 0.9908 0.375764308797109 2
"40" 8 2 2 0.6 4 0.991 0.375577768729325 2
"41" 5 2 2 0.6 1024 0.9909 0.372846034611785 2
"42" 8 2 2 0.1 4 0.9878 0.371171275984853 2
"43" 7 3 2 0.8 8 0.9927 0.370760950368141 2
"44" 7 4 0.5 0.8 8 0.9909 0.368696616566339 2
"45" 7 2 2 0.1 256 0.9915 0.368627442298461 2
"46" 8 4 2 0.2 4 0.9929 0.366567454958409 2
"47" 8 4 2 0.8 2 0.9931 0.365847566331708 2
"48" 8 4 2 0.9 64 0.9976 0.365321140938035 2
"49" 8 4 0.5 0.9 8 0.9909 0.365071660633431 2
"50" 4 2 2 0.1 10000 0.9789 0.364823670817514 2
"51" 6 1 0.5 0.2 10000 0.9338 0.364092313653434 2
"52" 7 3 2 0.7 16 0.9934 0.361666466915182 2
"53" 8 4 2 0.9 2 0.993 0.35676409555465 2
"54" 7 2 2 0.5 8 0.9914 0.356480900039646 2
"55" 3 3 2 0.9 256 0.9927 0.355832853285432 2
"56" 6 2 2 0.9 128 0.9929 0.355155564662909 2
"57" 6 2 2 0.6 512 0.9938 0.354109969790741 2
"58" 4 2 2 0.9 128 0.9917 0.348371337455315 2
"59" 7 4 0.5 0.6 16 0.9914 0.347696428863483 2
"60" 8 2 2 0.1 8 0.9885 0.346924318361273 2
"61" 8 3 2 0.3 4 0.9922 0.346868099087901 2
"62" 6 2 2 0.6 64 0.9928 0.344276081784611 2
"63" 8 3 0.001953125 0.1 10000 0.9876 0.341679720685468 2
"64" 7 4 0.5 0.9 8 0.9908 0.341587545560695 2
"65" 7 4 2 0.5 8 0.9946 0.341012557640021 2
"66" 7 4 0.5 0.8 4 0.9905 0.340972975412701 2
"67" 8 4 2 0.3 2 0.9927 0.340064880446696 2
"68" 8 4 2 0.6 4 0.9941 0.339937931283403 2
"69" 8 2 2 0.9 0.5 0.988 0.338206641611858 2
"70" 7 2 2 0.3 64 0.993 0.337548385497748 2
"71" 8 4 0.125 0.9 16 0.9895 0.336532694758024 2
"72" 7 4 2 0.1 64 0.9943 0.336148365063443 2
"73" 7 2 2 0.1 128 0.9907 0.335581855158348 2
"74" 5 4 2 0.9 16 0.9939 0.334466199576273 2
"75" 8 2 2 0.1 32 0.9897 0.333978881397969 2
"76" 7 3 2 0.5 16 0.9937 0.333374064176753 2
"77" 7 2 0.5 0.9 1024 0.9909 0.331303731013604 2
"78" 7 2 2 0.4 16 0.992 0.329386576617448 2
"79" 7 4 2 0.7 1 0.9923 0.328483632523142 2
"80" 8 3 0.0078125 0.1 512 0.9875 0.327970483064758 2
"81" 7 4 2 0.9 8 0.9942 0.327744441220222 2
"82" 8 4 2 0.7 2 0.9933 0.326833382829488 2
"83" 7 3 2 0.2 32 0.9933 0.324846310526842 2
"84" 4 2 2 0.8 512 0.9923 0.324373992575062 2
"85" 8 4 2 0.5 4 0.9942 0.323935321296312 2
"86" 8 4 0.03125 0.6 10000 0.9902 0.323932340459189 2
"87" 7 4 0.125 0.8 32 0.9898 0.323369737810135 2
"88" 8 4 0.5 0.7 8 0.9911 0.323175388844638 2
"89" 8 2 2 0.9 4 0.9907 0.322152161651484 2
"90" 8 2 0.5 0.9 16 0.9885 0.322074211980707 2
"91" 8 4 0.5 0.4 8 0.9908 0.321113984402155 2
"92" 7 2 2 0.8 4 0.9905 0.320624953557442 2
"93" 8 4 2 0.8 8 0.9946 0.320114160205436 2
"94" 3 3 2 0.5 512 0.9937 0.319403114429862 2
"95" 7 2 2 0.6 8 0.9913 0.31912569280296 2
"96" 8 3 0.125 0.5 128 0.9891 0.318979416843722 2
"97" 7 4 2 0.3 2 0.9924 0.318520864326114 2
"98" 8 3 2 0.6 1 0.9912 0.317217937222618 2
"99" 6 1 0.5 0.3 10000 0.9192 0.316390686934868 2
"100" 7 3 2 0.5 2 0.9917 0.315222361942479 2
"101" 8 4 0.001953125 0.8 10000 0.989 0.314889876727351 2
"102" 7 3 0.5 0.2 512 0.9914 0.314860536468345 2
"103" 8 4 0.5 0.9 4 0.9904 0.313939023610155 2
"104" 7 4 0.5 0.9 4 0.9904 0.312072369554704 2
"105" 5 4 2 0.7 32 0.9946 0.310466988901175 2
"106" 8 3 0.03125 0.6 10000 0.9891 0.310397773198197 2
"107" 8 4 0.125 0.4 256 0.9907 0.309415212943822 2
"108" 8 3 0.0078125 0.1 1024 0.9877 0.30807344115586 2
"109" 5 4 2 0.9 32 0.9946 0.307510131463915 2
"110" 7 2 2 0.5 256 0.9953 0.307168256085517 2
"111" 8 4 0.125 0.8 256 0.9907 0.307004391311272 2
"112" 8 4 0.001953125 0.1 10000 0.9884 0.304393572812071 2
"113" 8 1 2 0.6 10000 0.9238 0.30347524237163 2
"114" 8 4 0.125 0.7 128 0.9905 0.302924279508798 2
"115" 5 4 2 0.8 32 0.9946 0.301165631116883 2
"116" 7 4 0.5 0.6 4 0.9905 0.300907464070887 2
"117" 8 3 0.5 0.5 16 0.9902 0.30023552519201 2
"118" 7 4 0.5 0.8 16 0.9913 0.299389145210646 2
"119" 8 1 2 0.1 128 0.9383 0.299356191363546 2
"120" 7 2 2 0.3 32 0.9923 0.297945234587879 2
"121" 7 4 0.125 0.6 128 0.9905 0.297213317103089 2
"122" 8 4 0.125 0.7 64 0.9902 0.297066652421556 2
"123" 8 3 0.125 0.5 256 0.9894 0.297019117073925 2
"124" 8 3 2 0.3 2 0.9913 0.296907070495257 2
"125" 8 4 2 0.8 64 0.9976 0.296641476149633 2
"126" 7 1 2 0.1 128 0.9367 0.296555623751988 2
"127" 7 4 2 0.5 2 0.9932 0.295989609385499 2
"128" 8 4 0.001953125 0.9 10000 0.9889 0.295823792408532 2
"129" 8 4 2 0.6 8 0.9948 0.29548598921317 2
"130" 8 4 0.5 0.5 8 0.991 0.295415306032327 2
"131" 5 1 0.5 0.1 10000 0.9279 0.295226232818899 2
"132" 8 2 2 0.8 2 0.9901 0.294793170975663 2
"133" 7 4 0.125 0.8 256 0.9906 0.293826623783402 2
