"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 8 3 0.5 0.5 128 0.9661 0.673079308517254 2
"2" 8 3 0.5 0.5 64 0.9646 0.665480579163189 2
"3" 7 3 0.5 0.5 128 0.9654 0.664597211021941 2
"4" 8 3 0.5 0.6 64 0.965 0.664570065576768 2
"5" 7 3 0.5 0.5 64 0.964 0.66313416090572 2
"6" 8 3 0.5 0.5 32 0.9637 0.661131168551853 2
"7" 8 3 0.5 0.5 256 0.9674 0.6609177527222 2
"8" 7 3 0.5 0.5 32 0.9629 0.660169358695523 2
"9" 7 3 0.5 0.4 128 0.965 0.659735258750341 2
"10" 6 3 0.5 0.7 256 0.9654 0.659624177422806 2
"11" 8 3 0.125 0.5 512 0.9622 0.658104922271338 2
"12" 7 3 0.5 0.4 64 0.9639 0.657945308129414 2
"13" 6 3 0.5 0.9 256 0.9647 0.657536195101023 2
"14" 8 3 0.125 0.5 256 0.9614 0.657139709277717 2
"15" 8 3 0.125 0.5 128 0.9607 0.656321006148341 2
"16" 6 3 0.5 0.9 512 0.966 0.655476526529769 2
"17" 8 3 0.125 0.5 64 0.96 0.654960131161414 2
"18" 8 3 0.125 0.5 1024 0.9629 0.654607386827283 2
"19" 7 3 0.5 0.5 256 0.9666 0.654559372687239 2
"20" 6 3 0.5 0.7 512 0.9668 0.654497449865072 2
"21" 8 3 0.03125 0.5 10000 0.9611 0.654454030502822 2
"22" 7 3 0.5 0.6 64 0.9642 0.654405361479416 2
"23" 6 1 2 0.2 1 0.9341 0.654132989259653 2
"24" 7 3 0.125 0.5 1024 0.962 0.653447510656317 2
"25" 6 3 0.5 0.4 256 0.9653 0.652702213021971 2
"26" 6 3 0.5 0.8 256 0.9651 0.652579264709718 2
"27" 7 3 0.5 0.4 16 0.9617 0.652528574597049 2
"28" 8 3 0.0078125 0.5 10000 0.9583 0.652398171512617 2
"29" 8 3 0.03125 0.5 1024 0.9591 0.651967122561296 2
"30" 6 3 0.5 0.9 1024 0.9673 0.651891816281358 2
"31" 8 3 0.5 0.5 16 0.9627 0.651850191424677 2
"32" 5 3 0.5 0.9 512 0.964 0.651846745145254 2
"33" 7 3 0.5 0.8 128 0.9654 0.651496403383169 2
"34" 8 4 0.5 0.3 8 0.9709 0.651362496076337 2
"35" 8 2 0.125 0.8 64 0.9499 0.651217273434944 2
"36" 8 3 0.03125 0.5 512 0.9588 0.651198772276165 2
"37" 6 3 0.5 0.4 32 0.9618 0.651186436282597 2
"38" 7 3 0.5 0.7 128 0.9655 0.650916228751409 2
"39" 6 3 0.5 0.4 128 0.9639 0.650762718309255 2
"40" 8 1 0.5 0.6 128 0.9411 0.650491034266938 2
"41" 7 3 0.125 0.4 1024 0.9619 0.650482106795612 2
"42" 8 1 0.125 0.3 128 0.935 0.650014050730033 2
"43" 8 3 0.5 0.6 128 0.9663 0.649939645087509 2
"44" 6 3 0.5 0.8 512 0.9664 0.649889815716189 2
"45" 6 4 0.5 0.5 256 0.9756 0.649778821403631 2
"46" 6 4 0.5 0.5 128 0.9747 0.649519405561782 2
"47" 8 3 0.125 0.4 128 0.9606 0.649499539360936 2
"48" 6 3 0.5 0.8 1024 0.9676 0.649398739062756 2
"49" 6 3 0.5 0.4 16 0.9609 0.649263428400181 2
"50" 6 4 0.5 0.2 128 0.9725 0.649142344395748 2
"51" 8 3 0.5 0.7 128 0.9662 0.649043959488123 2
"52" 6 3 0.03125 0.6 10000 0.9594 0.649034216052173 2
"53" 8 1 0.125 0.3 64 0.9344 0.648960271955205 2
"54" 8 2 0.125 0.8 16 0.9485 0.64891996288564 2
"55" 8 3 0.5 0.7 64 0.9651 0.648894001998608 2
"56" 8 2 0.03125 0.9 512 0.9487 0.648845169445434 2
"57" 8 2 0.125 0.8 32 0.9493 0.648823875743079 2
"58" 8 2 0.125 0.9 32 0.9491 0.648599235470194 2
"59" 6 3 0.125 0.6 128 0.9592 0.648479857629937 2
"60" 7 3 0.5 0.7 256 0.9667 0.648465853146664 2
"61" 6 3 0.5 0.6 1024 0.9682 0.648399726507582 2
"62" 8 2 0.125 0.9 128 0.9504 0.648316057636656 2
"63" 6 1 0.125 0.3 32 0.9326 0.648308806981381 2
"64" 8 2 0.125 0.9 64 0.9497 0.648167490804819 2
"65" 8 3 0.03125 0.5 128 0.9574 0.648115844495751 2
"66" 8 1 0.0078125 0.9 10000 0.9333 0.64805569669716 2
"67" 8 4 0.125 0.4 32 0.97 0.647966606010278 2
"68" 7 3 0.125 0.5 512 0.9612 0.647890331637707 2
"69" 8 3 0.03125 0.5 256 0.9582 0.647819758619852 2
"70" 8 2 0.03125 0.7 1024 0.9492 0.647754727660947 2
"71" 8 2 0.125 0.7 32 0.9491 0.647577300520898 2
"72" 6 1 0.125 0.4 512 0.9349 0.647569774271298 2
"73" 5 3 0.5 0.9 256 0.9635 0.647561606154139 2
"74" 8 1 0.03125 0.9 128 0.9325 0.647523663476673 2
"75" 8 4 0.125 0.3 128 0.9708 0.647508637519604 2
"76" 7 3 0.5 0.4 256 0.9664 0.647375977889244 2
"77" 7 3 0.5 0.4 32 0.9628 0.647360525327921 2
"78" 4 3 0.5 0.9 1024 0.9639 0.647332573578531 2
"79" 6 1 0.5 0.2 256 0.9364 0.647313934298594 2
"80" 8 4 0.125 0.8 16 0.9693 0.647244096844371 2
"81" 8 1 0.03125 0.4 1024 0.9347 0.647240127499617 2
"82" 7 3 0.5 0.7 64 0.9643 0.647175449440082 2
"83" 8 2 0.03125 0.8 1024 0.949 0.647148767902387 2
"84" 8 1 0.0078125 0.8 10000 0.9333 0.647135973141784 2
"85" 8 1 0.03125 0.7 512 0.9338 0.647017291525336 2
"86" 8 3 0.5 0.8 64 0.9649 0.646988118006621 2
"87" 8 2 0.03125 0.9 256 0.9482 0.646977774391661 2
"88" 7 3 0.125 0.4 128 0.9597 0.64689289727528 2
"89" 7 3 0.125 0.5 256 0.9605 0.646843090348011 2
"90" 8 2 0.03125 0.7 512 0.9487 0.646787011243116 2
"91" 7 3 0.125 0.4 256 0.9604 0.646739235107417 2
"92" 8 2 0.125 0.6 32 0.9492 0.646713085526856 2
"93" 8 1 0.125 0.4 16 0.9336 0.646639958027945 2
"94" 8 1 0.125 0.6 16 0.9337 0.646624500178839 2
"95" 8 3 0.5 0.4 64 0.9644 0.646623396232245 2
"96" 8 2 0.03125 0.8 512 0.9486 0.646615923074874 2
"97" 6 1 0.125 0.3 64 0.9331 0.646540907436779 2
"98" 8 2 0.03125 0.9 1024 0.9491 0.646439292844067 2
"99" 8 2 0.125 0.9 256 0.9511 0.646404893340686 2
"100" 8 2 0.125 0.9 16 0.9485 0.646288535333824 2
"101" 7 3 0.125 0.9 1024 0.9618 0.646228152844026 2
"102" 6 3 0.125 0.6 64 0.9588 0.646204988451756 2
"103" 7 3 0.5 0.4 8 0.9603 0.646171047282645 2
"104" 8 1 0.03125 0.9 256 0.9331 0.646137990126548 2
"105" 8 4 0.125 0.3 64 0.9703 0.646098114727364 2
"106" 8 3 0.5 0.6 256 0.9675 0.646093356566757 2
"107" 8 4 0.125 0.3 32 0.9695 0.646091438685681 2
"108" 6 1 0.5 0.2 64 0.935 0.64608583395113 2
"109" 6 1 0.5 0.2 32 0.9344 0.645986950404643 2
"110" 8 3 0.125 0.4 256 0.9614 0.645964128262698 2
"111" 8 2 0.125 0.6 64 0.9499 0.645853229299072 2
"112" 8 2 0.03125 0.7 256 0.9482 0.645813956672527 2
"113" 8 1 0.125 0.4 8 0.9328 0.645786041446402 2
"114" 7 3 0.125 0.5 32 0.9584 0.64576637401441 2
"115" 8 1 0.03125 0.9 64 0.9321 0.645765416526131 2
"116" 6 4 0.5 0.3 128 0.9738 0.645696375097207 2
"117" 7 3 0.125 0.4 512 0.9612 0.64564148892951 2
"118" 8 1 0.03125 0.6 512 0.934 0.645632939316278 2
"119" 8 1 0.03125 0.6 1024 0.9346 0.645587435784774 2
"120" 8 4 0.5 0.7 1 0.966 0.645563153635233 2
"121" 7 3 0.5 0.6 128 0.9655 0.645497521989979 2
"122" 8 4 0.125 0.7 16 0.9689 0.645418681973008 2
"123" 8 3 0.03125 0.4 256 0.9578 0.645399933818603 2
"124" 8 3 0.5 0.4 4 0.9601 0.645388402940436 2
"125" 8 2 0.5 0.9 2 0.9493 0.645376622727627 2
"126" 8 1 0.03125 0.3 256 0.9327 0.645375530081588 2
"127" 8 1 0.03125 0.8 256 0.9333 0.645374402922154 2
"128" 8 2 0.03125 0.8 256 0.9482 0.645342406666065 2
"129" 8 1 0.03125 0.5 1024 0.9346 0.645324419071536 2
"130" 8 1 0.0078125 0.6 10000 0.9336 0.645319178238906 2
"131" 8 1 2 0.5 4 0.9435 0.645239689545832 2
"132" 8 1 0.03125 0.9 1024 0.934 0.645212838703129 2
"133" 8 4 0.125 0.8 32 0.9701 0.645190900932269 2
"134" 8 2 0.125 0.8 128 0.9506 0.645172074272423 2
"135" 8 1 0.03125 0.8 128 0.9325 0.645165759857707 2
"136" 7 3 0.125 0.5 128 0.9598 0.645138809840369 2
"137" 7 3 0.125 0.9 512 0.9612 0.645095973097813 2
"138" 6 1 2 0.9 0.5 0.9345 0.644928673249704 2
"139" 7 3 0.5 0.5 16 0.9619 0.644857908345156 2
"140" 8 1 0.03125 0.4 512 0.9339 0.644853511756833 2
"141" 8 4 0.5 0.8 1 0.9658 0.644803942143858 2
"142" 5 3 2 0.5 128 0.9745 0.644780390329829 2
"143" 8 4 0.125 0.4 16 0.9687 0.644765566767972 2
"144" 8 3 0.03125 0.4 512 0.9586 0.644703709452947 2
"145" 8 1 0.03125 0.4 256 0.933 0.644703634895853 2
"146" 6 3 0.5 0.4 64 0.9627 0.644693787861436 2
"147" 7 3 0.03125 0.6 1024 0.9586 0.644663824506237 2
"148" 8 2 0.5 0.9 64 0.954 0.644642254391378 2
"149" 8 1 0.03125 0.7 256 0.933 0.644631353571829 2
"150" 6 1 0.125 0.4 1024 0.9355 0.644606620359425 2
"151" 8 3 0.125 0.5 32 0.9591 0.644579438310461 2
"152" 5 3 0.5 0.4 128 0.9624 0.644569968972953 2
"153" 7 3 0.5 0.5 8 0.9606 0.644568128922009 2
"154" 6 1 2 0.8 0.5 0.9345 0.644565372961054 2
"155" 8 2 0.03125 0.7 128 0.9477 0.644504632807784 2
"156" 5 3 0.5 0.8 1024 0.9656 0.644482505511913 2
"157" 8 1 0.125 0.6 8 0.933 0.644418034753772 2
"158" 8 2 0.03125 0.8 128 0.9478 0.644342248171339 2
"159" 8 3 0.03125 0.4 10000 0.9611 0.644316665957658 2
"160" 6 3 2 0.6 8 0.9681 0.644313761532918 2
"161" 6 1 0.5 0.3 8 0.9339 0.644305173665535 2
"162" 7 3 0.125 0.5 64 0.9592 0.644272144747897 2
"163" 6 1 0.03125 0.5 10000 0.9345 0.644246578755105 2
"164" 8 3 0.125 0.4 64 0.9597 0.644208662118016 2
"165" 6 1 0.125 0.3 4 0.9312 0.64414015872038 2
"166" 6 3 0.5 0.3 16 0.9604 0.644108578077192 2
"167" 7 3 0.03125 0.5 10000 0.9601 0.6440771094799 2
"168" 8 3 0.5 0.5 2 0.9585 0.643923081460962 2
"169" 8 3 0.03125 0.4 1024 0.9591 0.643854683077531 2
"170" 6 1 0.03125 0.4 10000 0.9344 0.643842676006219 2
"171" 6 1 0.125 0.4 256 0.9344 0.643840236800869 2
"172" 8 1 0.03125 0.5 512 0.9339 0.643829522620618 2
"173" 8 1 0.125 0.7 16 0.9336 0.64378554736463 2
"174" 8 3 0.0078125 0.5 1024 0.9571 0.643730936709309 2
"175" 8 1 0.125 0.5 8 0.9328 0.643715950454928 2
"176" 8 1 0.125 0.5 64 0.9349 0.643715295562717 2
"177" 8 3 2 0.5 1 0.9639 0.64370578316118 2
"178" 8 1 0.03125 0.6 256 0.9332 0.643683583539001 2
"179" 7 3 0.5 0.5 4 0.9593 0.643676744364016 2
"180" 6 1 0.125 0.4 8 0.9319 0.643676322511098 2
"181" 7 3 0.125 0.3 10000 0.9644 0.643659994943967 2
"182" 8 3 0.0078125 0.5 512 0.9565 0.643651903639711 2
"183" 8 3 0.0078125 0.6 10000 0.9585 0.643646373989889 2
"184" 8 2 0.125 0.9 512 0.9519 0.643611899742349 2
"185" 8 2 0.125 0.5 128 0.9507 0.643583107868338 2
"186" 8 1 0.03125 0.3 1024 0.9336 0.643528537797596 2
"187" 8 2 0.03125 0.6 1024 0.9494 0.643516996885464 2
"188" 8 2 0.125 0.7 16 0.9485 0.643512658419189 2
"189" 8 3 0.00048828125 0.5 10000 0.956 0.643482986997876 2
"190" 6 4 0.5 0.5 512 0.9766 0.643482088979541 2
"191" 8 1 0.03125 0.9 512 0.9335 0.643437101142643 2
"192" 8 3 0.125 0.4 16 0.9578 0.643434900955578 2
"193" 8 3 0.03125 0.5 64 0.9566 0.643419270452614 2
"194" 7 3 2 0.4 64 0.9758 0.643400735436833 2
"195" 8 2 0.5 0.9 128 0.9551 0.643378516410452 2
"196" 8 1 0.125 0.6 32 0.9344 0.643333700770212 2
"197" 8 1 0.5 0.5 128 0.9414 0.643328578838723 2
"198" 7 3 0.5 0.8 256 0.9666 0.643300368677822 2
"199" 6 1 0.03125 0.4 32 0.9312 0.643238692445799 2
"200" 6 1 0.5 0.3 32 0.9356 0.643221083579278 2
"201" 8 1 0.03125 0.7 1024 0.9344 0.64317802178561 2
"202" 8 3 0.5 0.7 32 0.9641 0.643136386599274 2
"203" 8 1 0.125 0.3 4 0.9313 0.643135492586074 2
"204" 8 1 0.125 0.5 32 0.9344 0.643130454621433 2
"205" 8 2 0.03125 0.9 128 0.9479 0.643121321879537 2
"206" 6 3 0.5 0.7 1024 0.968 0.643113267224941 2
"207" 6 1 0.125 0.3 8 0.9317 0.643106454821174 2
"208" 8 3 0.5 0.4 8 0.9615 0.643051689818469 2
"209" 8 3 0.125 0.4 32 0.959 0.642982313977449 2
"210" 6 3 0.5 0.5 16 0.961 0.642961819264073 2
"211" 6 3 0.125 0.5 32 0.958 0.64294386705867 2
"212" 8 4 0.125 0.9 8 0.9676 0.642939334031745 2
"213" 6 4 0.125 0.2 1024 0.9708 0.642916932783696 2
"214" 6 1 0.125 0.4 128 0.934 0.642898678355781 2
"215" 8 3 0.001953125 0.5 10000 0.9567 0.642882578007437 2
"216" 8 4 0.125 0.5 16 0.9689 0.64287186789708 2
"217" 8 2 0.0078125 0.9 10000 0.9483 0.642828707322788 2
"218" 7 3 0.125 0.4 64 0.9589 0.642780995582787 2
