"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 7 1 2 0.9 0.25 0.9602 0.696497544305861 2
"2" 7 1 2 0.8 0.25 0.9603 0.687195570574777 2
"3" 7 1 2 0.7 0.5 0.9643 0.686872654945838 2
"4" 7 1 2 0.7 0.25 0.9608 0.683805290770623 2
"5" 7 1 2 0.5 0.25 0.961 0.683402421458519 2
"6" 7 1 2 0.2 0.5 0.9612 0.678219836028523 2
"7" 8 1 2 0.6 0.25 0.962 0.673485238842814 2
"8" 7 1 2 0.6 0.5 0.9646 0.672201499648446 2
"9" 8 1 2 0.7 0.25 0.9618 0.671602299947137 2
"10" 8 3 0.125 0.2 10000 0.9916 0.664829077400739 2
"11" 6 1 2 0.9 0.25 0.9594 0.663711936183826 2
"12" 3 2 2 0.3 512 0.9891 0.663640362169445 2
"13" 7 1 0.5 0.5 1 0.9609 0.66328853355561 2
"14" 7 1 0.5 0.5 2 0.9618 0.662300677898775 2
"15" 7 1 2 0.3 0.25 0.9601 0.662032569409951 2
"16" 3 2 2 0.1 256 0.9863 0.662016850468825 2
"17" 3 2 2 0.1 128 0.9862 0.661765204502404 2
"18" 4 1 2 0.9 0.5 0.9609 0.661149109102408 2
"19" 6 1 2 0.5 0.25 0.9598 0.66001214495135 2
"20" 6 1 2 0.6 0.25 0.9598 0.659013115079212 2
"21" 4 1 2 0.7 0.25 0.9587 0.658487995242433 2
"22" 3 2 2 0.3 256 0.9889 0.657805595275374 2
"23" 7 1 2 0.2 0.25 0.9578 0.656271849044253 2
"24" 7 1 0.5 0.6 0.5 0.9598 0.655987227271911 2
"25" 8 1 2 0.9 0.25 0.9613 0.655685208898666 2
"26" 7 1 0.5 0.8 1 0.9611 0.65466146606658 2
"27" 7 1 0.5 0.9 0.5 0.96 0.654527517907 2
"28" 7 1 0.5 0.5 0.5 0.9598 0.654415793415304 2
"29" 7 1 2 0.1 2 0.962 0.653882620333289 2
"30" 7 1 0.5 0.5 4 0.963 0.653861568566956 2
"31" 4 1 2 0.5 0.5 0.9611 0.653688428961134 2
"32" 7 1 2 0.5 0.5 0.9643 0.653667106471958 2
"33" 7 1 0.5 0.8 0.5 0.96 0.653552199426811 2
"34" 3 2 2 0.4 256 0.9893 0.653361980286274 2
"35" 7 1 0.5 0.6 1 0.9611 0.652799691462238 2
"36" 6 1 2 0.5 0.5 0.9628 0.652729974545506 2
"37" 7 1 0.5 0.7 2 0.962 0.652463294577403 2
"38" 8 1 0.5 0.5 2 0.9629 0.651936810177447 2
"39" 7 1 0.5 0.9 1 0.9612 0.651520168971348 2
"40" 8 1 2 0.2 0.25 0.9587 0.651342958680828 2
"41" 8 1 0.5 0.6 1 0.9619 0.651339901001587 2
"42" 4 2 2 0.4 512 0.9909 0.65121701538372 2
"43" 8 3 0.5 0.2 256 0.992 0.650038088779515 2
"44" 8 1 0.5 0.9 0.5 0.9607 0.64965426794762 2
"45" 7 1 0.5 0.7 0.5 0.96 0.649613866116772 2
"46" 3 2 2 0.4 128 0.989 0.64959565096293 2
"47" 7 1 2 0.1 4 0.9634 0.649281483404552 2
"48" 7 1 2 0.6 0.25 0.9609 0.649003066568461 2
"49" 8 1 0.5 0.6 2 0.9632 0.648428878242018 2
"50" 4 1 2 0.6 0.25 0.9589 0.648417048539397 2
"51" 8 3 0.5 0.2 128 0.9917 0.648352931897718 2
"52" 7 1 2 0.1 1 0.9606 0.647819146499815 2
"53" 8 1 0.5 0.8 2 0.963 0.647433597214751 2
"54" 4 1 2 0.6 0.5 0.9611 0.647080611562406 2
"55" 3 2 2 0.3 1024 0.9893 0.647053577429021 2
"56" 3 2 2 0.3 128 0.9886 0.646994091902665 2
"57" 4 1 2 0.9 2 0.9637 0.646726951270367 2
"58" 7 1 0.5 0.8 2 0.9621 0.646399953593281 2
"59" 8 1 0.5 0.5 4 0.9641 0.646363370962623 2
"60" 8 1 0.5 0.6 0.5 0.9606 0.646206821442058 2
"61" 7 1 0.5 0.6 2 0.9621 0.646206083152288 2
"62" 8 1 0.5 0.5 1 0.9618 0.646110986104587 2
"63" 7 1 2 0.2 1 0.9635 0.64580892594022 2
"64" 7 1 0.5 0.6 4 0.9631 0.645717637450287 2
"65" 7 1 0.5 0.5 8 0.9639 0.645472721407174 2
"66" 8 1 0.125 0.3 1024 0.9651 0.645187596847089 2
"67" 6 1 2 0.4 0.25 0.9596 0.645181848400351 2
"68" 7 1 2 0.5 1 0.967 0.644714671617001 2
"69" 8 1 2 0.1 2 0.9625 0.644309232591298 2
"70" 6 1 2 0.7 0.25 0.9601 0.644243283205231 2
"71" 3 2 2 0.4 512 0.9896 0.644199856214286 2
"72" 7 1 0.5 0.7 4 0.9631 0.644026663079976 2
"73" 7 1 0.5 0.7 1 0.9611 0.644017546242481 2
"74" 8 1 0.5 0.9 0.25 0.9591 0.643864199856537 2
"75" 8 1 0.125 0.1 1024 0.9613 0.643512438911861 2
"76" 3 2 2 0.1 64 0.9862 0.643442040177426 2
"77" 4 2 0.5 0.1 1024 0.9863 0.643356597574553 2
"78" 8 1 0.5 0.8 0.5 0.9607 0.643003460425214 2
"79" 7 1 2 0.1 0.5 0.9594 0.642585367262475 2
"80" 6 1 2 0.8 0.25 0.96 0.642235998071055 2
"81" 8 3 0.5 0.2 64 0.9914 0.641933637088863 2
"82" 8 1 0.5 0.1 64 0.9626 0.641902148203709 2
"83" 7 1 0.5 0.3 32 0.965 0.641826208362277 2
"84" 7 1 2 0.8 0.5 0.9643 0.641537129485152 2
"85" 3 2 2 0.4 64 0.9887 0.641319716010132 2
"86" 7 1 2 0.3 1 0.9652 0.641038514461501 2
"87" 7 3 2 0.2 8 0.9921 0.64093471451649 2
"88" 4 1 2 0.9 1 0.9628 0.640845657846188 2
"89" 8 1 0.5 0.3 128 0.968 0.640760040473193 2
"90" 7 1 0.125 0.1 16 0.9595 0.640755888865574 2
"91" 7 1 0.5 0.5 16 0.9648 0.640664864791913 2
"92" 8 1 0.5 0.1 32 0.9617 0.64061974944169 2
"93" 8 1 0.5 0.5 0.5 0.9605 0.640405399546036 2
"94" 8 1 0.5 0.7 0.5 0.9606 0.640396478508988 2
"95" 7 1 0.5 0.9 2 0.9623 0.640323492582498 2
"96" 3 1 2 0.6 2 0.9617 0.640282548436034 2
"97" 8 1 0.5 0.7 2 0.9632 0.640110740782004 2
"98" 3 1 2 0.6 1 0.9609 0.640059451137116 2
"99" 8 2 2 0.1 0.25 0.9732 0.64001280775274 2
"100" 7 1 0.5 0.1 1 0.9583 0.639920004189873 2
"101" 4 1 2 0.5 1 0.9625 0.639850982648649 2
"102" 4 1 2 0.5 0.25 0.9587 0.639673690184719 2
"103" 6 1 2 0.6 0.5 0.9631 0.639608870036361 2
"104" 8 1 2 0.1 0.5 0.9601 0.639593512862063 2
"105" 8 1 0.5 0.9 1 0.962 0.639533528496315 2
"106" 8 1 0.125 0.1 512 0.9606 0.639513708164116 2
"107" 8 1 0.5 0.1 1 0.9588 0.639446654013124 2
"108" 7 1 0.125 0.1 8 0.9592 0.63936877929195 2
"109" 8 1 0.5 0.3 16 0.965 0.639338245409827 2
"110" 8 1 2 0.1 4 0.9638 0.638685422128976 2
"111" 5 4 2 0.1 0.5 0.9796 0.638379737512094 1
