"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 4 1 0.0078125 0.1 512 0.9081 0.653790933901905 1
"2" 4 3 0.001953125 0.1 1024 0.9131 0.650216438927082 1
"3" 4 4 0.0078125 0.1 512 0.918 0.649803027563476 1
"4" 4 4 0.001953125 0.1 1024 0.9144 0.649613001858658 1
"5" 4 4 0.0078125 0.1 256 0.9146 0.648635100824388 1
"6" 4 2 0.001953125 0.1 1024 0.9134 0.647923474815694 1
"7" 4 4 0.03125 0.1 64 0.9166 0.647533709496188 1
"8" 4 2 0.00048828125 0.1 10000 0.9151 0.647380899719258 1
"9" 4 1 0.001953125 0.1 10000 0.9094 0.647317667374256 1
"10" 4 4 0.001953125 0.1 10000 0.9204 0.64529778071874 1
"11" 4 1 0.03125 0.1 64 0.9075 0.644659793901184 1
"12" 4 3 0.0078125 0.1 256 0.9135 0.643876695956422 1
"13" 5 1 0.001953125 0.1 10000 0.9091 0.643043408641099 1
"14" 4 1 0.03125 0.1 128 0.9094 0.642828938229709 1
"15" 4 2 0.0078125 0.1 256 0.9136 0.641710723127887 1
"16" 4 2 0.001953125 0.1 10000 0.9169 0.640892440004156 1
"17" 4 1 0.0078125 0.1 256 0.9062 0.640759835177455 1
"18" 4 2 0.03125 0.1 32 0.9098 0.640630814281349 1
"19" 4 3 0.03125 0.1 32 0.9095 0.63998594971906 1
"20" 4 3 0.001953125 0.2 10000 0.9195 0.63883757335306 1
"21" 4 1 0.00048828125 0.3 10000 0.9096 0.638551221967418 1
"22" 5 1 0.0078125 0.1 1024 0.9096 0.638323984400372 1
"23" 4 1 0.001953125 0.2 512 0.9076 0.637154061281108 1
"24" 8 1 0.00048828125 0.4 1024 0.9073 0.637005923266081 1
"25" 4 1 0.001953125 0.6 10000 0.9119 0.636620254186095 1
"26" 4 2 0.125 0.1 8 0.9101 0.636433645855521 1
"27" 4 2 0.001953125 0.2 10000 0.9177 0.636302019411032 1
"28" 8 4 0.00048828125 0.2 10000 0.9188 0.636100385970641 1
"29" 4 1 0.00048828125 0.2 512 0.9045 0.63591683235507 1
"30" 4 1 0.00048828125 0.2 1024 0.9055 0.635750329198714 1
"31" 4 1 0.001953125 0.2 128 0.9045 0.635671191291904 1
"32" 7 4 0.00048828125 0.2 10000 0.9188 0.635598559489019 1
"33" 4 1 0.001953125 0.2 256 0.9056 0.635496527057841 1
"34" 4 2 0.0078125 0.1 512 0.915 0.635111912228142 1
"35" 4 3 0.125 0.1 8 0.9103 0.63500900871799 1
"36" 4 1 0.03125 0.2 64 0.9099 0.634856177447431 1
"37" 8 2 0.00048828125 0.7 1024 0.9161 0.63481897382132 1
"38" 5 1 0.03125 0.1 64 0.9088 0.634756541974545 1
"39" 8 3 0.0078125 0.2 1024 0.9186 0.63465074539002 1
"40" 4 4 0.0078125 0.1 1024 0.9204 0.634586811353634 1
"41" 8 2 0.00048828125 0.9 1024 0.915 0.634556011454739 1
"42" 8 3 0.00048828125 0.6 1024 0.9159 0.634381225925624 1
"43" 8 2 0.00048828125 0.8 256 0.9066 0.634379634016781 1
"44" 4 1 0.0078125 0.2 512 0.91 0.634378710050269 1
"45" 8 4 0.00048828125 0.3 1024 0.9163 0.634354727013958 1
"46" 4 1 0.0078125 0.2 32 0.9046 0.634311749787646 1
"47" 8 3 0.00048828125 0.8 256 0.9068 0.634299721322793 1
"48" 8 4 0.001953125 0.2 1024 0.9183 0.634225563279582 1
"49" 4 2 0.0078125 0.2 512 0.9171 0.634206827718571 1
"50" 4 1 0.00048828125 0.4 10000 0.9097 0.634185594421777 1
"51" 8 2 0.00048828125 0.6 1024 0.9157 0.634146467803079 1
"52" 8 2 0.00048828125 0.9 512 0.9125 0.634096624149243 1
"53" 8 1 0.00048828125 0.4 512 0.9062 0.634091378023915 1
"54" 8 3 0.00048828125 0.9 512 0.913 0.634088041723085 1
"55" 4 1 0.0078125 0.2 128 0.9075 0.634071728946777 1
"56" 8 4 0.00048828125 0.4 512 0.9128 0.634005006703959 1
"57" 4 3 0.00048828125 0.1 10000 0.9152 0.633973529219764 1
"58" 8 3 0.0078125 0.2 512 0.9175 0.633966868551376 1
"59" 8 3 0.00048828125 0.7 1024 0.9162 0.633951144757474 1
"60" 4 3 0.0078125 0.2 1024 0.9194 0.633896753881893 1
"61" 5 1 0.03125 0.1 32 0.9073 0.633872640415775 1
"62" 4 1 0.0078125 0.2 256 0.9089 0.633864548164826 1
"63" 8 3 0.001953125 0.8 64 0.9068 0.63384436533367 1
"64" 8 1 0.00048828125 0.8 128 0.8987 0.633825432439948 1
"65" 5 4 0.0078125 0.1 64 0.9039 0.633794716989651 1
"66" 6 4 0.001953125 0.1 10000 0.9205 0.633756422490484 1
"67" 8 4 0.00048828125 0.9 1024 0.9164 0.633739803780803 1
"68" 8 3 0.001953125 0.2 10000 0.9185 0.633733707721703 1
"69" 8 1 0.00048828125 0.5 256 0.9046 0.633727920339917 1
"70" 8 4 0.00048828125 0.9 256 0.9062 0.63369319032303 1
"71" 8 1 0.00048828125 0.9 128 0.8994 0.633663268717337 1
"72" 8 1 0.001953125 0.8 32 0.8986 0.633642534038034 1
"73" 4 4 0.00048828125 0.1 10000 0.9181 0.633623475073917 1
"74" 8 1 0.00048828125 0.8 256 0.904 0.633611080444374 1
"75" 8 2 0.001953125 0.8 64 0.9065 0.633574454930095 1
"76" 4 3 0.125 0.1 16 0.9153 0.633568809106963 1
"77" 8 3 0.00048828125 0.8 1024 0.916 0.633515726006375 1
"78" 8 1 0.00048828125 0.9 256 0.903 0.63348887745598 1
"79" 5 2 0.03125 0.1 16 0.9039 0.63347298773405 1
"80" 8 2 0.0078125 0.2 256 0.9162 0.633462313343208 1
"81" 8 2 0.00048828125 0.9 128 0.8964 0.633429485561082 1
"82" 8 2 0.00048828125 0.5 256 0.9054 0.633414789441914 1
"83" 4 1 0.03125 0.2 128 0.9116 0.633410305363828 1
"84" 8 3 0.00048828125 0.5 256 0.9055 0.633395146027631 1
"85" 8 1 0.001953125 0.9 32 0.8997 0.63338082456703 1
"86" 8 3 0.001953125 0.9 128 0.9129 0.633357660567821 1
"87" 5 1 0.03125 0.1 128 0.9103 0.633352339342341 1
"88" 8 2 0.00048828125 0.8 64 0.8841 0.633348651861751 1
"89" 8 4 0.00048828125 0.7 128 0.8978 0.633333473625707 1
"90" 8 1 0.00048828125 0.5 512 0.907 0.63331420420625 1
"91" 8 2 0.001953125 0.9 128 0.9125 0.633286352926053 1
"92" 8 2 0.001953125 0.5 64 0.9055 0.633282549600233 1
"93" 8 4 0.00048828125 0.8 128 0.8968 0.633255695600564 1
"94" 8 3 0.00048828125 0.4 256 0.9028 0.63324481650877 1
"95" 8 2 0.00048828125 0.8 128 0.8963 0.633226779348101 1
"96" 8 4 0.001953125 0.9 64 0.9062 0.633222036879911 1
"97" 8 1 0.001953125 0.5 64 0.9047 0.633203738793122 1
"98" 8 3 0.00048828125 0.8 64 0.8827 0.63318764925609 1
"99" 8 2 0.001953125 0.8 16 0.8843 0.63318607221072 1
"100" 8 4 0.00048828125 0.4 1024 0.9155 0.633176507965772 1
"101" 8 3 0.00048828125 0.9 256 0.905 0.633175591124124 1
"102" 8 2 0.00048828125 0.9 256 0.9053 0.633163515680538 1
"103" 8 3 0.00048828125 0.6 128 0.8975 0.63313184600122 1
"104" 8 2 0.00048828125 0.6 128 0.8973 0.633104238824583 1
"105" 8 3 0.00048828125 0.4 512 0.9104 0.633085795470215 1
"106" 8 3 0.00048828125 0.5 1024 0.9149 0.633064747072809 1
"107" 8 2 0.001953125 0.9 32 0.8961 0.633046008641921 1
"108" 8 3 0.03125 0.2 32 0.9168 0.633036527387965 1
"109" 8 3 0.00048828125 0.8 512 0.9125 0.63303051326531 1
"110" 8 4 0.001953125 0.7 32 0.8978 0.633013747462228 1
"111" 8 2 0.0078125 0.2 128 0.9156 0.632995701190991 1
"112" 8 2 0.00048828125 0.7 128 0.8963 0.63299426682766 1
"113" 4 1 0.00048828125 0.5 10000 0.9099 0.632987765688348 1
"114" 8 1 0.00048828125 0.7 128 0.8995 0.632975991809657 1
"115" 8 4 0.00048828125 0.9 128 0.8963 0.632975144875935 1
"116" 8 3 0.001953125 0.8 32 0.8963 0.632965218888214 1
"117" 8 1 0.001953125 0.9 64 0.9031 0.632954973690341 1
"118" 8 2 0.001953125 0.9 64 0.9053 0.632949221546268 1
"119" 8 3 0.001953125 0.8 16 0.8828 0.632931107348033 1
"120" 8 2 0.00048828125 0.6 256 0.9068 0.632918954160644 1
"121" 8 3 0.00048828125 0.8 128 0.8963 0.632909838348873 1
"122" 8 4 0.00048828125 0.8 64 0.8833 0.63290937106927 1
"123" 8 3 0.0078125 0.2 256 0.9165 0.632908342385374 1
"124" 8 3 0.00048828125 0.9 1024 0.9148 0.632903474053028 1
"125" 8 3 0.00048828125 0.7 128 0.8964 0.632894553888147 1
"126" 8 1 0.001953125 0.4 128 0.9063 0.632890311952219 1
"127" 8 4 0.00048828125 0.6 256 0.9084 0.632886302443835 1
"128" 8 3 0.001953125 0.5 64 0.9055 0.632885750179952 1
"129" 8 1 0.00048828125 0.6 128 0.9015 0.632876531045382 1
"130" 8 2 0.001953125 0.9 256 0.915 0.632871525548605 1
"131" 8 4 0.001953125 0.9 32 0.8965 0.632853685013762 1
"132" 8 3 0.001953125 0.9 64 0.9051 0.632843511078124 1
"133" 5 3 0.0078125 0.1 128 0.9101 0.632842090561665 1
"134" 8 1 0.001953125 0.8 64 0.9041 0.632826484929032 1
"135" 8 4 0.001953125 0.8 32 0.8968 0.632824034065357 1
"136" 5 3 0.0078125 0.1 64 0.9035 0.632819674751694 1
"137" 8 3 0.001953125 0.4 64 0.9029 0.632813051650456 1
"138" 4 1 0.125 0.1 8 0.907 0.632770591574802 1
"139" 8 2 0.001953125 0.6 32 0.8974 0.632765139544541 1
"140" 8 2 0.001953125 0.8 32 0.8965 0.6327501449165 1
"141" 4 1 0.03125 0.1 32 0.9055 0.632744041809529 1
"142" 8 3 0.001953125 0.6 32 0.8975 0.632720347979747 1
"143" 8 4 0.001953125 0.8 16 0.8833 0.632699481919452 1
"144" 8 1 0.001953125 0.6 32 0.9015 0.632623990363761 1
"145" 8 3 0.00048828125 0.9 64 0.8809 0.632620380122023 1
"146" 8 4 0.00048828125 0.9 512 0.9136 0.632611435234663 1
"147" 8 2 0.001953125 0.7 32 0.8966 0.6325570896291 1
"148" 8 1 0.001953125 0.7 32 0.8995 0.632542819698978 1
"149" 8 3 0.00048828125 0.3 1024 0.9148 0.63252088491582 1
"150" 8 1 0.00048828125 0.4 256 0.9036 0.632503924545097 1
"151" 8 3 0.001953125 0.9 16 0.881 0.632483855371444 1
"152" 8 2 0.00048828125 0.9 64 0.8814 0.632468124331589 1
"153" 4 1 0.0078125 0.2 64 0.9056 0.632462286773211 1
"154" 8 4 0.00048828125 0.6 128 0.8982 0.632461083155158 1
"155" 8 4 0.00048828125 0.9 64 0.8807 0.632445716819903 1
"156" 8 3 0.001953125 0.7 32 0.8964 0.632419316342532 1
"157" 8 4 0.001953125 0.9 16 0.8807 0.632415143193168 1
"158" 8 4 0.00048828125 0.4 256 0.9044 0.632409149282549 1
"159" 8 1 0.00048828125 0.9 64 0.8916 0.632405929348216 1
"160" 8 2 0.00048828125 0.8 512 0.9124 0.632363772216522 1
"161" 8 2 0.001953125 0.9 16 0.8815 0.632355510057761 1
"162" 8 3 0.001953125 0.9 32 0.8966 0.632328877728817 1
"163" 4 4 0.00048828125 0.5 1024 0.9162 0.632312291752445 1
"164" 8 2 0.00048828125 0.4 256 0.903 0.632298098723631 1
"165" 8 3 0.00048828125 0.4 1024 0.9143 0.632275035106253 1
"166" 8 2 0.001953125 0.2 1024 0.9159 0.632274328575832 1
"167" 8 3 0.00048828125 0.7 64 0.8833 0.632251738805969 1
