"MABP" "CBFV" "gamma" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 6 3 0.5 0.8 1 0.984 0.518423496798337 2
"2" 6 4 0.5 0.9 0.25 0.9791 0.517262329662177 2
"3" 6 4 0.5 0.7 1 0.9842 0.516603699220701 2
"4" 6 3 0.5 0.9 0.5 0.9821 0.516121248619841 2
"5" 6 4 0.5 0.8 1 0.9843 0.515861344072287 2
"6" 6 3 0.5 0.9 0.25 0.979 0.514911805883069 2
"7" 6 3 0.5 0.7 1 0.984 0.513774083925033 2
"8" 6 4 0.5 0.6 0.5 0.982 0.512788562792954 2
"9" 6 4 0.5 0.9 0.5 0.9822 0.512023446627133 2
"10" 6 4 0.125 0.5 64 0.9863 0.51177328441833 2
"11" 6 3 0.5 0.9 1 0.9841 0.51000414061051 2
"12" 6 4 0.5 0.5 0.5 0.9814 0.509174276728457 2
"13" 6 4 0.125 0.8 256 0.9872 0.508865238642086 2
"14" 6 4 0.5 0.5 1 0.9839 0.508296639354401 2
"15" 6 3 0.5 0.9 2 0.9854 0.508196562288725 2
"16" 6 4 0.5 0.9 2 0.9857 0.507853445896073 2
"17" 5 4 0.03125 0.3 10000 0.9866 0.506904537694777 2
"18" 6 3 0.5 0.6 0.5 0.9816 0.505701336054291 2
"19" 6 3 0.125 0.6 512 0.9871 0.505620461001059 2
"20" 6 4 0.5 0.9 1 0.9843 0.505273741688707 2
"21" 6 3 0.125 0.6 1024 0.9873 0.50521650814956 2
"22" 6 4 0.5 0.8 2 0.9857 0.5050589390611 2
"23" 6 3 0.5 0.8 2 0.9854 0.504786955335133 2
"24" 6 3 0.125 0.5 128 0.9863 0.504627843601174 2
"25" 5 4 0.125 0.3 256 0.9866 0.504520888198529 2
"26" 5 4 0.125 0.3 1024 0.9871 0.504292483767528 2
"27" 6 4 0.03125 0.5 1024 0.986 0.5035810514384 2
"28" 6 4 0.125 0.5 128 0.9868 0.503490712574431 2
"29" 6 1 0.00048828125 0.9 256 0.9424 0.503490348347374 2
"30" 6 4 0.5 0.5 4 0.9865 0.503427803395659 2
"31" 6 4 0.5 0.7 0.5 0.9823 0.503395150748645 2
"32" 5 3 0.125 0.3 10000 0.9873 0.50313973290909 2
